,WELLNUM,DEPTH,GR,NEU,DEN,RMED,RDEP,DTC,PEF,DTS,PHIF,SW,VSH,IF_anomaly_scores,IF_anomaly,SVM_anomaly_scores,SVM_anomaly,LOF_anomaly_scores,LOF_anomaly
4752,2,11251.31,75.1668,0.3147,2.4477,1.9639999999999995,1.5881999999999998,89.991,0.049,186.7906,0.1279,0.6187,1.0,-0.02896281329654149,-1,0.11113756232521155,1,-0.6268190885322158,-1
4753,2,11251.64,71.3828,0.3038,2.4529,0.8145,0.8997,90.1315,0.0409,185.7127,0.1248,0.6446,0.9452,-0.008184971466006719,-1,0.11419291116328623,1,-0.38581062707944347,-1
4754,2,11251.97,65.6385,0.2948,2.4648,0.5584,0.8494000000000002,90.2608,0.03,184.6462,0.1176,0.7973,0.8582,-0.00841713530665833,-1,0.12481766055827848,1,0.12263412221597836,1
4755,2,11252.3,58.8981,0.2886,2.4881,0.5147,0.8659,90.39,0.0201,183.5797,0.1036,1.0,0.756,0.0023512857507422824,1,0.13055469940070452,1,0.11316399946362643,1
4756,2,11252.63,53.514,0.2839,2.525,0.5328,0.8017000000000001,90.4286,0.0158,182.975,0.0813,1.0,0.6745,-0.007864160323028724,-1,0.12879036680988065,1,0.20360590219546904,1
4757,2,11252.95,52.2763,0.279,2.573,0.5655,0.7575,90.4575,0.0216,182.4198,0.0524,1.0,0.6557,-0.015171887187162003,-1,0.127592121701241,1,0.21099548247549094,1
4758,2,11253.28,50.3088,0.271,2.6223,0.5343,0.7334000000000002,90.4864,0.0361,181.8646,0.0227,1.0,0.6259,-0.008801691040336235,-1,0.12473677044158649,1,0.21100746499918022,1
4759,2,11253.61,47.1594,0.2676,2.6581,0.3595,0.6270000000000001,90.359,0.0544,181.7245,0.02,1.0,0.5782,-0.018551466815319162,-1,0.11804095851550755,1,0.3173843054979635,1
4760,2,11253.94,46.2184,0.2693,2.6747,0.22629999999999997,0.4977,90.2052,0.0705,181.6546,0.02,1.0,0.5639,-0.031251530553132456,-1,0.1151826272573544,1,0.32424448949730245,1
4761,2,11254.26,44.8934,0.2797,2.6727,0.1853,0.4375,90.0514,0.0791,181.5847,0.02,1.0,0.5438,-0.029715660901084573,-1,0.11190981069523787,1,0.2975950884108578,1
4762,2,11254.59,44.1485,0.2955,2.6615,0.2185,0.39220000000000005,89.8312,0.0781,181.5518,0.02,1.0,0.5326,-0.03305023748655589,-1,0.11054405190589023,1,0.24691377043536167,1
4763,2,11254.92,44.0695,0.3091,2.6483,0.3051,0.3827,89.5951,0.065,181.5277,0.02,1.0,0.5314,-0.03534491898065273,-1,0.11138740469641562,1,0.2450914419926089,1
4764,2,11255.25,44.7908,0.3153,2.6409,0.3596,0.41220000000000007,89.359,0.0432,181.5036,0.02,1.0,0.5423,-0.035611937445502284,-1,0.11428294055735932,1,0.31553863001165827,1
4765,2,11255.58,46.7427,0.3155,2.6466,0.4955000000000001,0.5235,88.9091,0.0183,181.4693,0.02,1.0,0.5719,-0.040627754731254684,-1,0.12115128743687364,1,0.3426652420923212,1
4766,2,11255.91,48.7943,0.318,2.6681,0.5765000000000001,0.6299000000000001,88.3915,-0.0024,181.4317,0.02,1.0,0.6029,-0.04491212663376076,-1,0.12719258176105086,1,0.310789577136549,1
4767,2,11256.23,51.7587,0.3174,2.7054,0.6179,0.651,87.8739,-0.0131,181.3941,0.02,1.0,0.6479,-0.03949656435516402,-1,0.1330241028231285,1,0.27330963452773305,1
4768,2,11256.56,53.9286,0.3222,2.7513,0.6337000000000002,0.6457,87.3861,-0.0131,181.3172,0.02,1.0,0.6807,-0.053192631872117646,-1,0.1362064420719662,1,0.24121783967453037,1
4769,2,11256.89,57.2838,0.3239,2.7977,0.7399,0.6548,86.9103,-0.0028,181.2243,0.02,1.0,0.7316,-0.053190413014275406,-1,0.1391808721355119,1,0.28220542680397886,1
4770,2,11257.22,59.0478,0.3277,2.8351,0.863,0.6732000000000001,86.4346,0.0137,181.1315,0.02,1.0,0.7583,-0.06335764476460848,-1,0.1406633053505857,1,0.3197384490230146,1
4771,2,11257.55,58.2515,0.3357,2.8557,0.9386,0.7805,85.9196,0.0321,180.9492,0.02,1.0,0.7462,-0.05907505122903234,-1,0.14248591646094155,1,0.29537823804009633,1
4772,2,11257.87,59.4609,0.3456,2.8632,0.9929000000000001,0.8735000000000002,85.3847,0.0465,180.7216,0.02,1.0,0.7646,-0.06221683293166547,-1,0.143661788678628,1,0.30196494893478454,1
4773,2,11258.2,58.0763,0.3547,2.8663,1.3805999999999998,0.8694,84.8497,0.0528,180.4941,0.02,1.0,0.7436,-0.06606527324240441,-1,0.14703260924113692,1,0.28668647827552785,1
4774,2,11258.53,58.1454,0.3627,2.873,1.9412999999999998,0.8302000000000002,84.2782,0.0524,180.0122,0.02,1.0,0.7446,-0.07711755024871725,-1,0.1509216675491416,1,0.2357541886293768,1
4775,2,11258.86,59.7079,0.3694,2.8819,2.081,0.8377000000000001,83.6837,0.047,179.3714,0.02,1.0,0.7683,-0.08863274300926138,-1,0.1520934679141419,1,0.2276850106013546,1
4776,2,11259.19,60.8112,0.3732,2.8906,1.2545999999999997,0.8592000000000001,83.0893,0.0401,178.7305,0.02,1.0,0.785,-0.09166774307726122,-1,0.1475465628728898,1,0.21858324810734642,1
4777,2,11259.51,60.8858,0.3747,2.8992,0.8493000000000002,0.7727000000000002,82.4658,0.0341,177.7716,0.02,1.0,0.7861,-0.08639042505218464,-1,0.14553388517413168,1,0.2531703930880269,1
4778,2,11259.84,60.1786,0.3773,2.9092,0.7567,0.6021,81.8202,0.029,176.5703,0.02,1.0,0.7754,-0.09163300838533284,-1,0.14549491498939915,1,0.3061478290144344,1
4779,2,11260.17,60.0774,0.3853,2.9188,0.7022000000000002,0.3338,81.1747,0.0223,175.3689,0.02,1.0,0.7739,-0.09327660779678038,-1,0.14493687391529875,1,0.30483213129615094,1
4780,2,11260.5,61.5775,0.396,2.9261,0.5794000000000001,0.1548,80.5247,0.015,173.9063,0.02,1.0,0.7966,-0.1011858022875457,-1,0.14313354683781654,1,0.250587961863058,1
4781,2,11260.83,63.2175,0.4038,2.9309,0.24829999999999997,0.1295,79.8708,0.011,172.2019,0.02,1.0,0.8215,-0.10829049566141669,-1,0.1398501647718149,1,0.29383035470668784,1
4782,2,11261.16,64.7166,0.4063,2.9315,0.241,0.19020000000000004,79.2169,0.0123,170.4975,0.02,1.0,0.8442,-0.10829049566141669,-1,0.13833352138703958,1,0.2999421394666548,1
4783,2,11261.48,64.6111,0.4045,2.9234,0.642,0.3194000000000001,78.7298,0.0161,168.7569,0.02,1.0,0.8426,-0.09878475754930238,-1,0.1413984201092262,1,0.29323970480826533,1
4784,2,11261.81,65.2915,0.4001,2.9092,0.6625000000000001,0.3089,78.4296,0.0183,166.9756,0.02,1.0,0.8529,-0.09997741732102827,-1,0.1405470646361664,1,0.28669473389981515,1
4785,2,11262.14,64.5899,0.3934,2.8967,0.6923000000000001,0.2877,78.1294,0.0193,165.1943,0.02,1.0,0.8423,-0.0952209228068448,-1,0.14173833056418061,1,0.27696953758255893,1
4786,2,11262.47,62.1086,0.386,2.8935,0.6942,0.3355,77.9924,0.0223,163.1137,0.02,1.0,0.8047,-0.08944624084365049,-1,0.1447668930555892,1,0.2566940074456947,1
4787,2,11262.79,61.1607,0.3797,2.8974,0.6642000000000001,0.574,78.0778,0.0277,160.6256,0.02,1.0,0.7903,-0.08070385271414116,-1,0.1460530061432337,1,0.15013194953040854,1
4788,2,11263.12,59.8105,0.3731,2.899,0.9643000000000002,1.1466999999999998,78.1631,0.0322,158.1375,0.02,1.0,0.7699,-0.07738430903830307,-1,0.15022823442905064,1,0.15978824714213125,1
4789,2,11263.45,59.2767,0.3634,2.8926,0.7306,1.1299999999999997,78.4724,0.0339,155.6045,0.02,1.0,0.7618,-0.07775345178592241,-1,0.14896897123026065,1,0.17854935443986863,1
4790,2,11263.78,57.6567,0.3493,2.8816,0.6148000000000001,0.9339,79.1543,0.0355,152.997,0.02,1.0,0.7372,-0.057138545849431455,-1,0.14782852746475328,1,0.3011940159941876,1
4791,2,11264.11,58.4091,0.3297,2.8683,0.6336000000000002,0.9299,79.8363,0.0393,150.3894,0.02,1.0,0.7486,-0.04952614501019548,-1,0.1476136816459075,1,0.31506082058931195,1
4792,2,11264.44,57.8368,0.3164,2.8519,0.8097000000000001,0.9373000000000002,80.4582,0.0443,147.8854,0.02,1.0,0.74,-0.027092564890459525,-1,0.14841209735629945,1,0.3259031468737228,1
4793,2,11264.76,59.0258,0.3049,2.8262,0.9207000000000002,0.9446000000000001,80.9567,0.0481,145.5943,0.02,1.0,0.758,-0.02207565009829371,-1,0.14858971965509227,1,0.3189743974974144,1
4794,2,11265.09,58.8381,0.2993,2.7915,1.0072999999999999,0.9484000000000001,81.4552,0.0496,143.3032,0.02,1.0,0.7551,-0.009744140698487391,-1,0.14879492726788612,1,0.3117235645201867,1
4795,2,11265.42,58.5929,0.2999,2.7528,1.1473999999999998,0.9816000000000001,81.843,0.0496,141.2377,0.02,1.0,0.7514,-0.003696722228342497,-1,0.14944254741283203,1,0.3018171681139221,1
4796,2,11265.75,62.7866,0.3047,2.7195,1.2734999999999999,0.9686000000000001,81.9452,0.0508,139.7541,0.02,1.0,0.8149,-0.01067472125876967,-1,0.14747694372852038,1,0.21217633820223036,1
4797,2,11266.08,65.9707,0.3117,2.6962,1.2861,0.9502,82.0474,0.0553,138.2704,0.02,1.0,0.8632,-0.015058482599597744,-1,0.1430786413638998,1,0.3033328699937704,1
4798,2,11266.4,66.5314,0.3175,2.6784,1.4546999999999999,0.9663000000000002,82.0249,0.0612,137.0001,0.02,1.0,0.8717,-0.02050030714386719,-1,0.14314750361188544,1,0.31983537292847763,1
4799,2,11266.73,70.6707,0.3181,2.6567,1.5287999999999997,0.9823000000000001,81.5883,0.0633,136.438,0.02,1.0,0.9344,-0.029163183219654054,-1,0.13482320046284713,1,0.3146255284433611,1
4800,2,11267.06,72.7462,0.3134,2.6271,1.6602,1.0076,81.1516,0.0597,135.8759,0.02,1.0,0.9659,-0.009330237180249279,-1,0.13007540853072896,1,0.2238604692021524,1
4801,2,11267.39,72.5296,0.3055,2.5899,2.0965,1.0377999999999998,80.7006,0.0532,135.4255,0.0422,1.0,0.9626,0.007151392911562526,1,0.13359036621682208,1,0.23434496307705377,1
4802,2,11267.72,70.1683,0.2982,2.5524,2.5554,1.0994999999999997,80.1853,0.049,135.4721,0.0648,1.0,0.9268,0.0207149816631243,1,0.14316357021357362,1,0.2814489814170711,1
4803,2,11268.04,64.3209,0.2933,2.5187,2.7024999999999997,1.1313,79.67,0.0495,135.5187,0.0851,1.0,0.8382,0.029015674278942083,1,0.15565886278443486,1,0.2912441814392961,1
4804,2,11268.37,58.7335,0.2836,2.4903,2.6039999999999996,1.1407999999999998,79.1952,0.0529,135.5895,0.1022,0.882,0.7535,0.042443501344303136,1,0.15970054861986682,1,0.1054598428195026,1
4805,2,11268.7,54.6195,0.2692,2.4663,2.4931999999999994,1.1317,78.9794,0.0571,135.8149,0.1167,0.7896,0.6912,0.046764936434514626,1,0.15831405293567968,1,0.14744610171682404,1
4806,2,11269.03,51.0931,0.2521,2.4445,2.3944,1.1313,78.7635,0.0614,136.0403,0.1298,0.7222,0.6378,0.05714282311894103,1,0.1543960248715166,1,0.24713862103384177,1
4807,2,11269.36,49.5073,0.2347,2.4228,2.4168,1.1446999999999998,78.5849,0.0648,136.2676,0.1429,0.6568,0.6137,0.057799893233903776,1,0.15223809994733983,1,0.2733836365550195,1
4808,2,11269.68,49.7023,0.2199,2.4008,2.1972,1.1194,78.795,0.0666,136.5148,0.1424,0.6622,0.323,0.06685940110328548,1,0.15121411714847,1,0.29298278074266393,1
4809,2,11270.01,48.296,0.2086,2.3786,1.8467,1.0925999999999998,79.0051,0.0659,136.762,0.1551,0.6681,0.3119,0.07490737940419395,1,0.14664060034567683,1,0.2691350541071791,1
