,WELLNUM,DEPTH,DTC,DTS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ROP,PHIF,SW,VSH
252312,7,601.3779,,,,,,,,,,,,,,,
252313,7,601.7061,,,,,,,,,,,,,,,
252314,7,602.0341,,,,,,,,,,,,,,,
252315,7,602.3622,,,,,,,,,,,,,,,
252316,7,602.6903,,,,,,,,,,,,,,,
252317,7,603.0184,,,,,,,,,,,,,,,
252318,7,603.3464,,,,,,,,,,,,,,,
252319,7,603.6746,,,,,,,,,,,,,,,
252320,7,604.0026,,,,,,,,,,,,,,,
252321,7,604.3307,,,,,,,,,,,,,,,
252322,7,604.6588,,,,,,,,,,,,,,,
252323,7,604.9869,,,,,,,,,,,,,,,
252324,7,605.3149,,,,,,,,,,,,,,,
252325,7,605.6431,,,,,,,,,,,,,,,
252326,7,605.9711,,,,,,,,,,,,,,,
252327,7,606.2992,,,,,,,,,,,,,,,
252328,7,606.6273,,,,,,,,,,,,,,,
252329,7,606.9554,,,,,,,,,,,,,,,
252330,7,607.2834,,,,,,,,,,,,,,,
252331,7,607.6116,,,,,,,,,,,,,,,
252332,7,607.9396,,,,,,,,,,,,,,,
252333,7,608.2677,,,,,,,,,,,,,,,
252334,7,608.5958,,,,,,,,,,,,,,,
252335,7,608.9239,,,,,,,,,,,,,,,
252336,7,609.252,,,,,,,,,,,,,,,
252337,7,609.5801,,,,,,,,,,,,,,,
252338,7,609.9081,,,,,,,,,,,,,,,
252339,7,610.2362,,,,,,,,,,,,,,,
252340,7,610.5643,,,,,,,,,,,,,,,
252341,7,610.8924,,,,,,,,,,,,,,,
252342,7,611.2205,,,,,,,,,,,,,,,
252343,7,611.5486,,,,,,,,,,,,,,,
252344,7,611.8766,,,,,,,,,,,,,,,
252345,7,612.2047,,,,,,,,,,,,,,,
252346,7,612.5328,,,,,,,,,,,,,,,
252347,7,612.8609,,,,,,,,,,,,,,,
252348,7,613.189,,,,,,,,,,,,,,,
252349,7,613.5171,,,,,,,,,,,,,,,
252350,7,613.8452,,,,,,,,,,,,,,,
252351,7,614.1732,,,,,,,,,,,,,,,
252352,7,614.5013,,,,,,,,,,,,,,,
252353,7,614.8294,,,,,,,,,,,,,,,
252354,7,615.1575,,,,,,,,,,,,,,,
252355,7,615.4855,,,,,,,,,,,,,,,
252356,7,615.8137,,,,,,,,,,,,,,,
252357,7,616.1417,,,,,,,,,,,,,,,
252358,7,616.4698,,,,,,,,,,,,,,,
252359,7,616.7979,,,,,,,,,,,,,,,
252360,7,617.126,,,,,,,,,,,,,,,
252361,7,617.454,,,,,,,,,,,,,,,
252362,7,617.7822,,,,,,,,,,,,,,,
252363,7,618.1102,,,,,,,,,,,,,,,
