,WELLNUM,DEPTH,DTC,DTS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ROP,PHIF,SW,VSH
0,0,335.160104986877,,,,,,,5.3274,,,,,,,,
1,0,335.660104986877,,,,,,,5.8235,,,,,,,,
2,0,336.160104986877,,,,,,,6.5228,,,,,,,,
3,0,336.660104986877,,,,,,,7.2285,,,,,,,,
4,0,337.160104986877,,,,,,,9.502,,,,,,,,
5,0,337.660104986877,,,,,,,15.6696,,,,,,,,
6,0,338.160104986877,,,,,,,17.9443,,,,,,,,
7,0,338.660104986877,,,,,,,18.074,,,,,,,,
8,0,339.160104986877,,,,,,,18.2037,,,,,,,,
9,0,339.660104986877,,,,,,,18.3334,,,,,,,,
10,0,340.160104986877,,,,,,,18.4631,,,,,,,,
11,0,340.660104986877,,,,,,,18.5928,,,,,,,,
12,0,341.160104986877,,,,,,,18.7225,,,,,,,,
13,0,341.660104986877,,,,,,,18.8462,,,,,,,,
14,0,342.160104986877,,,,,,,18.9496,,,,,,,,
15,0,342.660104986877,,,,,,,19.0458,,,,,,,,
16,0,343.160104986877,,,,,,,19.142,,,,,,,,
17,0,343.660104986877,,,,,,,19.2382,,,,,,,,
18,0,344.160104986877,,,,,,,19.3343,,,,,,,,
19,0,344.660104986877,,,,,,,19.4305,,,,,,,,
20,0,345.160104986877,,,,,,,19.5267,,,,,,,,
21,0,345.660104986877,,,,,,,19.6227,,,,,,,,
22,0,346.160104986877,,,,,,,19.7126,,,,,,,,
23,0,346.660104986877,,,,,,,19.7824,,,,,,,,
24,0,347.160104986877,,,,,,,19.8448,,,0.3665,0.4068,,,,
25,0,347.660104986877,,,,,,,19.9073,,,0.444,0.402,,,,
26,0,348.160104986877,,,,,,,19.9698,,,0.4426,0.402,,,,
27,0,348.660104986877,,,,,,,20.0323,,,0.4309,0.401,,,,
28,0,349.160104986877,,,,,,,20.0948,,,0.4279,0.4,,,,
29,0,349.660104986877,,,,,,,20.1573,,,0.4249,0.399,,,,
30,0,350.160104986877,,,,,,,20.2201,,,0.4209,0.398,,,,
31,0,350.660104986877,,,,,,,20.2915,,,0.4178,0.398,,,,
32,0,351.160104986877,,,,,,,20.3906,,,0.4138,0.399,,,,
33,0,351.660104986877,,,,,,,20.4995,,,0.4099,0.399,,,,
34,0,352.160104986877,,,,,,,20.6084,,,0.4071,0.4,,,,
35,0,352.660104986877,,,,,,,20.7174,,,0.4113,0.4,,,,
36,0,353.160104986877,,,,,,,20.8263,,,0.4411,0.401,,,,
37,0,353.660104986877,,,,,,,20.9352,,,0.4875,0.401,,,,
38,0,354.160104986877,,,,,,,21.042,,,0.539,0.402,,,,
39,0,354.660104986877,,,,,,,21.0982,,,0.5749,0.4031,,,,
40,0,355.160104986877,,,,,,,20.9985,,,0.5151,0.4051,,,,
41,0,355.660104986877,,,,,,,20.8433,,,0.4768,0.4061,,,,
42,0,356.160104986877,,,,,,,20.6881,,,0.4371,0.4071,,,,
43,0,356.660104986877,,,,,,,20.5329,,,0.4212,0.4091,,,,
44,0,357.160104986877,,,,,,,20.3778,,,0.4066,0.4111,,,,
45,0,357.660104986877,,,,,,,20.2225,,,0.4001,0.4131,,,,
46,0,358.160104986877,,,,,,,20.0685,,,0.4011,0.4152,,,,
47,0,358.660104986877,,,,,,,19.9365,,,0.4021,0.4181,,,,
48,0,359.160104986877,,,,,,,19.8707,,,0.403,0.4201,,,,
49,0,359.660104986877,,,,,,,19.8283,,,0.4031,0.4208,,,,
50,0,360.160104986877,,,,,,,19.786,,,0.4041,0.4177,,,,
51,0,360.660104986877,,,,,,,19.7436,,,0.4051,0.4127,,,,
52,0,361.160104986877,,,,,,,19.7013,,,0.4072,0.4085,,,,
53,0,361.660104986877,,,,,,,19.6589,,,0.4101,0.4007,,,,
54,0,362.160104986877,,,,,,,19.6156,,,0.4123,0.3967,,,,
55,0,362.660104986877,,,,,,,19.5558,,,0.4171,0.3929,,,,
56,0,363.160104986877,,,,,,,19.448,,,0.4191,0.3919,,,,
57,0,363.660104986877,,,,,,,19.3233,,,0.4212,0.3911,,,,
58,0,364.160104986877,,,,,,,19.1986,,,0.4241,0.3932,,,,
59,0,364.660104986877,,,,,,,19.0738,,,0.4269,0.3962,,,,
60,0,365.160104986877,,,,,,,18.9491,,,0.4392,0.3993,,,,
61,0,365.660104986877,,,,,,,18.8244,,,0.4553,0.4032,,,,
62,0,366.160104986877,,,,,,,18.6997,,,0.4724,0.4063,,,,
63,0,366.660104986877,,,,,,,18.5749,,,0.4907,0.4103,,,,
64,0,367.160104986877,,,,,,,18.4519,,,0.5125,0.4142,,,,
65,0,367.660104986877,,,,,,,18.3536,,,0.543,0.4167,,,,
66,0,368.160104986877,,,,,,,18.3246,,,0.5631,0.4126,,,,
67,0,368.660104986877,,,,,,,18.3202,,,0.5388,0.4073,,,,
68,0,369.160104986877,,,,,,,18.3157,,,0.502,0.4,,,,
69,0,369.660104986877,,,,,,,18.3112,,,0.4664,0.4001,,,,
70,0,370.160104986877,,,,,,,18.3067,,,0.4184,0.401,,,,
71,0,370.660104986877,,,,,,,18.3031,,,0.4118,0.4011,,,,
72,0,371.160104986877,,,,,,,18.3123,,,0.4099,0.4021,,,,
73,0,371.660104986877,,,,,,,18.356,,,0.409,0.4031,,,,
74,0,372.160104986877,,,,,,,18.4119,,,0.4089,0.4041,,,,
75,0,372.660104986877,,,,,,,18.4677,,,0.408,0.4051,,,,
76,0,373.160104986877,,,,,,,18.53,,,0.4081,0.4059,,,,
77,0,373.660104986877,,,,,,,18.6756,,,0.4093,0.4048,,,,
78,0,374.160104986877,,,,,,,19.0451,,,0.4133,0.4028,,,,
79,0,374.660104986877,,,,,,,19.4928,,,0.4267,0.4009,,,,
80,0,375.160104986877,,,,,,,19.9405,,,0.4438,0.4002,,,,
81,0,375.660104986877,,,,,,,20.3882,,,0.4624,0.4038,,,,
82,0,376.160104986877,,,,,,,20.8183,,,0.4873,0.4278,,,,
83,0,376.660104986877,,,,,,,21.0334,,,0.5294,0.4985,,,,
84,0,377.160104986877,,,,,,,20.6832,,,0.5847,0.4582,,,,
85,0,377.660104986877,,,,,,,20.1358,,,0.6621,0.4347,,,,
86,0,378.160104986877,,,,,,,19.5885,,,0.6329,0.4316,,,,
87,0,378.660104986877,,,,,,,19.0616,,,0.5897,0.4272,,,,
88,0,379.160104986877,,,,,,,18.7724,,,0.5688,0.4204,,,,
89,0,379.660104986877,,,,,,,19.0976,,,0.5478,0.4155,,,,
90,0,380.160104986877,,,,,,,19.6364,,,0.5202,0.4115,,,,
91,0,380.660104986877,,,,,,,20.1751,,,0.4967,0.4077,,,,
92,0,381.160104986877,,,,,,,20.7139,,,0.4776,0.4045,,,,
93,0,381.660104986877,,,,,,,21.2526,,,0.4659,0.4006,,,,
94,0,382.160104986877,,,,,,,21.7911,,,0.4569,0.398,,,,
95,0,382.660104986877,,,,,,,22.3295,,,0.448,0.3981,,,,
96,0,383.160104986877,,,,,,,22.8679,,,0.4409,0.3992,,,,
97,0,383.660104986877,,,,,,,23.3839,,,0.443,0.4012,,,,
98,0,384.160104986877,,,,,,,23.6597,,,0.4686,0.4031,,,,
99,0,384.660104986877,,,,,,,23.3351,,,0.5085,0.4041,,,,
100,0,385.160104986877,,,,,,,22.8032,,,0.562,0.405,,,,
101,0,385.660104986877,,,,,,,22.2819,,,0.577,0.4051,,,,
102,0,386.160104986877,,,,,,,21.8702,,,0.5852,0.4064,,,,
103,0,386.660104986877,,,,,,,21.7291,,,0.5952,0.4103,,,,
104,0,387.160104986877,,,,,,,21.6812,,,0.6123,0.4205,,,,
105,0,387.660104986877,,,,,,,21.6334,,,0.6285,0.4309,,,,
106,0,388.160104986877,,,,,,,21.5855,,,0.6362,0.4377,,,,
107,0,388.660104986877,,,,,,,21.5376,,,0.622,0.4427,,,,
108,0,389.160104986877,,,,,,,21.5069,,,0.6,0.4478,,,,
109,0,389.660104986877,,,,,,,21.645,,,0.5779,0.4537,,,,
110,0,390.160104986877,,,,,,,22.1901,,,0.5551,0.4588,,,,
111,0,390.660104986877,,,,,,,22.875,,,0.5269,0.4649,,,,
112,0,391.160104986877,,,,,,,23.5598,,,0.4993,0.4694,,,,
113,0,391.660104986877,,,,,,,24.2446,,,0.4844,0.4647,,,,
114,0,392.160104986877,,,,,,,24.9294,,,0.4994,0.4555,,,,
115,0,392.660104986877,,,,,,,25.5642,,,0.5398,0.4463,,,,
116,0,393.160104986877,,,,,,,25.7262,,,0.5588,0.4411,,,,
117,0,393.660104986877,,,,,,,24.7756,,,0.5763,0.4332,,,,
118,0,394.160104986877,,,,,,,23.4445,,,0.5855,0.4146,,,,
119,0,394.660104986877,,,,,,,22.1135,,,0.597,0.401,,,,
120,0,395.160104986877,,,,,,,20.8168,,,0.6171,0.4018,,,,
121,0,395.660104986877,,,,,,,19.835,,,0.6371,0.4075,,,,
122,0,396.160104986877,,,,,,,19.5824,,,0.6563,0.4204,,,,
123,0,396.660104986877,,,,,,,19.5784,,,0.671,0.4489,,,,
124,0,397.160104986877,,,,,,,19.5743,,,0.6831,0.4748,,,,
125,0,397.660104986877,,,,,,,19.5689,,,0.6866,0.4719,,,,
126,0,398.160104986877,,,,,,,19.5513,,,0.6703,0.4589,,,,
127,0,398.660104986877,,,,,,,19.5058,,,0.6476,0.4443,,,,
128,0,399.160104986877,,,,,,,19.4509,,,0.6266,0.4232,,,,
129,0,399.660104986877,,,,,,,19.396,,,0.6026,0.4124,,,,
130,0,400.160104986877,,,,,,,19.3411,,,0.5668,0.4033,,,,
131,0,400.660104986877,,,,,,,19.2876,,,0.5485,0.3993,,,,
132,0,401.160104986877,,,,,,,19.2464,,,0.5353,0.3947,,,,
133,0,401.660104986877,,,,,,,19.2327,,,0.5313,0.387,,,,
134,0,402.160104986877,,,,,,,19.2283,,,0.5271,0.3818,,,,
135,0,402.660104986877,,,,,,,19.2238,,,0.5221,0.381,,,,
136,0,403.160104986877,,,,,,,19.2194,,,0.5171,0.3812,,,,
