,WELLNUM,DEPTH,DTC,DTS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ROP,PHIF,SW,VSH
22748,0,11709.1601049869,132.2417,,,12.9852,2.2937,,62.7379,0.420963,,1.1841,0.7821,,0.184758916010498,1.0,
22749,0,11709.6601049869,123.916,,,12.6257,2.303,,53.8436,0.742682,,0.8829,1.0759,,0.180910404199472,1.0,
22750,0,11710.1601049869,115.06,,,12.7729,2.2769,,52.8516,0.459793,,0.9517,0.9199,,0.172496580052491,1.0,
22751,0,11710.6601049869,121.8756,,,11.7686,2.2808,,58.2263,0.499141,,0.8684,1.242,,0.161982304461937,1.0,
22752,0,11711.1601049869,125.3476,,,11.619,2.3272,,57.338,0.600855,,0.8296,0.9622,,0.149477656167978,1.0,
22753,0,11711.6601049869,119.5547,,,12.3887,2.3638,,57.3184,0.462497,,0.9173,1.0073,,0.147175083989502,1.0,
22754,0,11712.1601049869,117.5705,,,13.3333,2.3816,,60.9529,0.578934,,0.8229,1.1963,,0.149870839895015,1.0,
22755,0,11712.6601049869,114.5426,,,13.3333,2.3776,,63.6674,0.505355,,0.8304,1.1313,,0.156825267716528,1.0,
22756,0,11713.1601049869,107.8584,,,13.3482,2.3585,,54.5498,0.302595,,0.9339,0.9535,,0.16515484776903,1.0,
22757,0,11713.6601049869,106.9373,,,13.2409,2.325,,54.3761,0.394477,,1.0049,1.0577,,0.167581496062992,1.0,
22758,0,11714.1601049869,102.301,,,12.2219,2.3105,,47.7823,0.388097,,0.8873,1.0275,,0.167951503937008,1.0,
22759,0,11714.6601049869,99.105,,,12.9129,2.32,,39.0654,0.388979,,1.036,1.0496,,0.16642874015748,1.0,
22760,0,11715.1601049869,98.6147,,,13.544,2.3266,,42.897,0.278304,,1.0344,1.1086,,0.164351503937008,1.0,
22761,0,11715.6601049869,98.3326,,,13.0122,2.3296,,40.9775,0.336084,,1.1185,1.1588,,0.163322824146981,1.0,
22762,0,11716.1601049869,98.375,,,12.381,2.3291,,47.7328,0.395873,,1.0634,1.0782,,0.162788587926509,1.0,
22763,0,11716.6601049869,97.5124,,,12.381,2.3399,,51.0367,0.813155,,1.1637,1.1263,,0.164455343832018,1.0,
22764,0,11717.1601049869,98.6246,,,12.381,2.3372,,60.3627,0.40855,,1.0259,1.1132,,0.168405076115487,1.0,
22765,0,11717.6601049869,98.0405,,,12.381,2.3284,,68.138,0.554843,,1.1328,1.0077,,0.173652595800528,1.0,
22766,0,11718.1601049869,101.1524,,,12.3051,2.3292,,68.9758,0.575325,,1.1245,1.1552,,0.181242839895015,1.0,
22767,0,11718.6601049869,109.802,,,12.3125,2.2934,,66.4014,0.442636,,1.0061,1.0024,,0.184574091863517,1.0,
22768,0,11719.1601049869,118.4123,,,12.381,2.2803,,65.2422,0.757662,,0.9436,1.076,,0.180765732283461,1.0,
22769,0,11719.6601049869,129.2917,,,12.381,2.2913,,56.444,0.603474,,1.0676,0.9917,,0.170788992125982,1.0,
22770,0,11720.1601049869,133.0838,,,12.3558,2.2846,,52.5773,0.483659,,0.9696,1.1318,,0.160583976377948,1.0,
22771,0,11720.6601049869,129.1348,,,12.805,2.3077,,63.2051,0.506621,,0.8935,0.8598,,0.149806832020999,1.0,
22772,0,11721.1601049869,124.7298,,,12.5715,2.3758,,63.97,0.706061,,1.0385,0.9592,,0.147379824146984,1.0,
22773,0,11721.6601049869,121.1618,,,11.7368,2.3995,,59.8058,0.525003,,0.7994,1.0753,,0.147010175853019,1.0,
22774,0,11722.1601049869,117.0034,,,12.381,2.3393,,52.6579,0.472172,,0.7653,1.2578,,0.149685335958007,1.0,
22775,0,11722.6601049869,112.9647,,,12.6208,2.3424,,44.7895,0.46284,,0.9304,0.745,,0.155857015748033,1.0,
22776,0,11723.1601049869,115.4156,,,12.1783,2.3985,,48.3727,0.449657,,0.8139,0.733,,0.163675175853022,1.0,
22777,0,11723.6601049869,114.052,,,11.8095,2.3599,,51.4889,0.328928,,0.8565,1.0561,,0.171696496062992,1.0,
22778,0,11724.1601049869,111.114,,,11.7656,2.2917,,49.6812,0.38545,,0.9753,0.8785,,0.169431496062989,1.0,
22779,0,11724.6601049869,111.6311,,,12.0,2.2834,,45.8646,0.478204,,0.9241,1.6869,,0.16099707611549,1.0,
22780,0,11725.1601049869,105.393,,,12.0395,2.3259,,46.5811,0.380902,,1.0218,0.8972,,0.153652404199498,1.0,
22781,0,11725.6601049869,99.7181,,,12.0952,2.3597,,42.4149,0.343872,,1.3564,1.124,,0.14688574015748,1.0,
22782,0,11726.1601049869,100.8475,,,12.0952,2.3675,,48.1698,0.380042,,1.079,0.9027,,0.143820335958004,1.0,
22783,0,11726.6601049869,101.0769,,,12.0952,2.3632,,47.406,0.437831,,1.1943,0.6814,,0.140693824146981,1.0,
22784,0,11727.1601049869,100.6866,,,12.0952,2.3668,,46.8756,0.401072,,1.4956,2.6527,,0.141641839895015,1.0,
22785,0,11727.6601049869,103.0622,,,11.7178,2.3955,,45.7271,0.303513,,0.8213,1.2066,,0.147114015748033,1.0,
22786,0,11728.1601049869,107.4609,,,11.5709,2.3905,,44.3468,0.313395,,1.1063,0.7437,,0.155261351706041,1.0,
22787,0,11728.6601049869,110.0247,,,11.4146,2.366,,49.231,0.391753,,1.0191,0.4059,,0.164969664041992,1.0,
22788,0,11729.1601049869,106.8319,,,10.0983,2.3156,,50.838,0.373233,,1.1632,0.9852,,0.167437824146984,1.0,
22789,0,11729.6601049869,102.474,,,9.4627,2.3094,,51.0142,0.316793,,0.6966,0.7662,,0.166244595800524,1.0,
22790,0,11730.1601049869,96.8729,,,9.7177,2.3289,,52.1933,0.341357,,1.3832,0.9712,,0.165195,1.0,
22791,0,11730.6601049869,95.0402,,,9.4286,2.3321,,55.9035,0.490319,,1.3498,0.9506,,0.165689404199476,1.0,
22792,0,11731.1601049869,93.4589,,,9.4286,2.3315,,57.8805,0.353031,,1.0155,1.0831,,0.167232763779528,1.0,
22793,0,11731.6601049869,93.0125,,,9.577,2.3275,,51.66,0.503619,,1.3232,1.0496,,0.169433755905513,1.0,
22794,0,11732.1601049869,97.0172,,,10.0,2.3234,,58.6806,0.412175,,1.0901,1.0223,,0.172539992125985,1.0,
22795,0,11732.6601049869,98.2412,,,10.0,2.3238,,53.7474,0.369341,,0.9835,1.0789,,0.175091755905509,1.0,
22796,0,11733.1601049869,101.6108,,,9.7497,2.3148,,51.9818,0.454417,,1.1269,0.8739,,0.177868175853016,1.0,
22797,0,11733.6601049869,100.6136,,,9.5238,2.3028,,51.06,0.343065,,1.1353,1.1311,,0.179225671916011,1.0,
22798,0,11734.1601049869,102.9959,,,9.5238,2.2988,,47.9818,0.308181,,1.079,1.087,,0.180953496062992,1.0,
22799,0,11734.6601049869,103.1563,,,9.5624,2.3045,,52.4785,0.407823,,1.0023,0.881,,0.182970343832022,1.0,
22800,0,11735.1601049869,103.1563,,,9.5776,2.3021,,53.2614,0.396647,,1.0332,0.9111,,0.186755167979004,1.0,
22801,0,11735.6601049869,104.5352,,,9.5238,2.2913,,55.539,0.380797,,0.9974,0.9798,,0.190829335958007,1.0,
22802,0,11736.1601049869,102.8556,,,9.595,2.2875,,50.8502,0.3193,,1.15,1.1049,,0.195683671916011,1.0,
22803,0,11736.6601049869,101.9559,,,9.619,2.2778,,52.5241,0.356215,,1.0351,0.9595,,0.196258740157482,1.0,
22804,0,11737.1601049869,104.0709,,,9.619,2.2581,,43.7934,0.343242,,0.9637,1.1029,,0.192864160105001,1.0,
22805,0,11737.6601049869,99.4607,,,9.619,2.2555,,42.9979,0.303483,,1.1487,1.0625,,0.183768488188971,1.0,
22806,0,11738.1601049869,98.4602,,,9.619,2.2699,,40.1019,0.357147,,0.9783,1.1684,,0.168752228346454,1.0,
22807,0,11738.6601049869,114.5548,,,9.6498,2.2917,,42.0215,0.409088,,1.0262,0.9812,,0.158816320209971,1.0,
22808,0,11739.1601049869,113.8322,,,9.7143,2.3347,,53.4856,0.381554,,1.0957,0.9474,,0.155282267716539,1.0,
22809,0,11739.6601049869,114.5537,,,9.6864,2.3764,,60.9137,0.422714,,0.9991,0.9783,,0.16575309186352,1.0,
22810,0,11740.1601049869,116.3176,,,9.8923,2.3889,,56.2446,0.544193,,0.9321,1.0286,,0.176348351706041,1.0,
22811,0,11740.6601049869,116.3406,,,9.9413,2.3363,,55.539,0.335272,,1.0347,1.0349,,0.184574091863517,1.0,
22812,0,11741.1601049869,115.7877,,,10.0,2.2609,,49.0968,0.586616,,1.0164,1.3377,,0.179942472440981,1.0,
22813,0,11741.6601049869,110.0061,,,10.253,2.2636,,46.3641,0.596574,,0.9628,0.9726,,0.167888496062989,1.0,
22814,0,11742.1601049869,108.5509,,,10.4762,2.2995,,46.4542,0.388681,,1.0115,0.9378,,0.156160396325454,1.0,
